OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
316275,24900,31992,90.07,1.25,0.30,525,1.20,1.25,2400,10500.00,3000,1101.10,1185.00,75,-,-,-,-,-,-
3075,2925,81,95.37,1.60,0.65,900,1.00,1.75,1500,10550.00,7350,1040.45,1450.85,7350,-,-,-,-,-,-
46350,37875,3597,91.60,1.30,0.50,75,0.80,1.25,75,10600.00,7350,1107.85,1287.00,8475,-,-,-,-,-,75
-,-,-,-,-,-,900,0.15,2.70,900,10650.00,7350,1105.70,1355.00,7350,-,-,-,-,-,-
39300,24150,1345,98.43,0.80,0.20,75,0.70,0.80,150,10700.00,7350,1220.20,1384.15,1125,-,-,-,-,-,75
-,-,-,-,-,-,900,0.15,1.45,600,10750.00,7350,1215.10,1465.25,7350,-,-,-,-,-,-
34575,23550,1992,100.15,0.60,0.10,300,0.45,0.60,6075,10800.00,8475,1288.95,1548.55,7350,-,-,-,-,-,75
-,-,-,-,-,-,900,0.15,1.35,900,10850.00,7350,1302.00,1572.15,7350,-,-,-,-,-,-
24975,22575,880,99.11,0.30,-0.20,225,0.25,0.30,4425,10900.00,1200,1463.55,1652.80,75,-,-,-,-,-,-
-,-,-,-,-,-,975,0.15,1.25,900,10950.00,7350,1377.65,1684.85,7350,-,-,-,-,-,-
205875,123975,12746,100.87,0.25,-0.05,1500,0.20,0.25,15750,11000.00,1200,1516.00,1655.90,75,146.45,1580.00,-,2,-,-
-,-,-,-,-,-,900,0.05,0.85,900,11050.00,7350,1484.95,1793.05,7350,-,-,-,-,-,-
5850,5550,847,95.21,0.10,-0.35,20025,0.05,0.10,1875,11100.00,7350,1522.25,1887.30,7350,-,-,-,-,-,-
8775,4275,338,114.15,0.35,0.15,4275,0.10,0.35,3000,11150.00,7350,1598.30,1906.20,7350,-,-,-,-,-,-
3900,1950,245,105.15,0.10,-0.35,8325,0.10,0.15,600,11200.00,1200,1708.75,1875.90,75,-,-,-,-,-,-
225,75,6,115.94,0.25,-0.05,1200,0.15,0.25,4275,11250.00,7350,1688.15,2016.45,7350,-,-,-,-,-,-
13575,10650,1068,116.28,0.10,-0.20,17025,0.10,0.20,1875,11300.00,1200,1815.70,1984.60,75,-,-,-,-,-,-
-,-,-,-,-,-,1200,0.10,0.65,900,11350.00,7350,1781.75,2149.30,7350,-,-,-,-,-,-
57825,-,6530,118.46,0.15,-0.05,10800,0.10,0.15,4200,11400.00,1200,1901.45,2083.15,75,-,-,-,-,-,-
3975,2550,395,111.36,0.20,-0.05,8100,0.05,0.15,3000,11450.00,75,1976.00,2135.85,75,-,-,-,-,-,-
